Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,3,Wed,2022-10-05,20:00,Chelsea eng,1.1,3–0,0.4,it Milan,39537,Stamford Bridge,Danny Makkelie,Match Report,
Group stage,3,Wed,2022-10-05,20:00,Benfica pt,1.4,1–1,1.0,fr Paris S-G,62295,Estádio do Sport Lisboa e Benfica,Jesús Gil,Match Report,
Group stage,3,Wed,2022-10-05,20:00,Manchester City eng,4.3,5–0,0.4,dk FC Copenhagen,51765,Etihad Stadium,Donatas Rumšas,Match Report,
Group stage,3,Wed,2022-10-05,21:00 (20:00),Real Madrid es,3.4,2–1,0.8,ua Shakhtar,56011,Estadio Santiago Bernabéu,Ivan Kružliak,Match Report,
Group stage,3,Wed,2022-10-05,21:00 (20:00),Sevilla es,2.0,1–4,2.5,de Dortmund,34598,Estadio Ramón Sánchez Pizjuán,Maurizio Mariani,Match Report,
Group stage,3,Wed,2022-10-05,21:00 (20:00),Juventus it,2.3,3–1,2.0,il Maccabi Haifa,28498,Allianz Stadium,Sandro Schärer,Match Report,
,,,,,,,,,,,,,,
Group stage,4,Tue,2022-10-11,18:45 (17:45),FC Copenhagen dk,0.3,0–0,1.6,eng Manchester City,35447,Parken,Artur Dias,Match Report,
Group stage,4,Tue,2022-10-11,19:45 (17:45),Maccabi Haifa il,0.8,2–0,0.5,it Juventus,30074,Sammy Ofer Stadium,Antonio Matéu Lahoz,Match Report,
Group stage,4,Tue,2022-10-11,20:00,Celtic sct,2.0,0–2,1.7,de RB Leipzig,57565,Celtic Park,Halil Umut Meler,Match Report,
Group stage,4,Tue,2022-10-11,21:00 (20:00),Dortmund de,0.4,1–1,0.8,es Sevilla,81000,Signal Iduna Park,Srđan Jovanović,Match Report,
Group stage,4,Tue,2022-10-11,21:00 (20:00),Paris S-G fr,1.2,1–1,1.2,pt Benfica,46435,Parc des Princes,Michael Oliver,Match Report,
Group stage,4,Tue,2022-10-11,21:00 (20:00),Milan it,0.4,0–2,2.2,eng Chelsea,75051,Stadio Giuseppe Meazza,Daniel Siebert,Match Report,
Group stage,4,Tue,2022-10-11,21:00 (20:00),Dinamo Zagreb hr,0.9,1–1,1.3,at RB Salzburg,20779,Stadion Maksimir,Tobias Stieler,Match Report,
Group stage,4,Tue,2022-10-11,22:00 (20:00),Shakhtar ua,0.5,1–1,1.1,es Real Madrid,29030,Stadion Miejski Legii Warszawa im. Marsz...,Orel Grinfeeld,Match Report,
Group stage,4,Wed,2022-10-12,18:45 (17:45),Napoli it,3.2,4–2,1.6,nl Ajax,52229,Stadio Diego Armando Maradona,Felix Zwayer,Match Report,
Group stage,4,Wed,2022-10-12,18:45 (17:45),Atlético Madrid es,2.3,0–0,0.6,be Club Brugge,60810,Estadio Cívitas Metropolitano,Danny Makkelie,Match Report,
Group stage,4,Wed,2022-10-12,20:00,Sporting CP pt,0.3,0–2,2.8,fr Marseille,38126,Estádio José Alvalade,Alejandro Hernández,Match Report,
Group stage,4,Wed,2022-10-12,20:00,Rangers sct,0.5,1–7,2.2,eng Liverpool,48820,Ibrox Stadium,Slavko Vinčič,Match Report,
Group stage,4,Wed,2022-10-12,20:00,Tottenham eng,3.0,3–2,1.2,de Eint Frankfurt,55180,Tottenham Hotspur Stadium,Carlos del Cerro,Match Report,
Group stage,4,Wed,2022-10-12,21:00 (20:00),Viktoria Plzeň cz,1.2,2–4,3.0,de Bayern Munich,11326,Doosan Arena,Bartosz Frankowski,Match Report,
Group stage,4,Wed,2022-10-12,21:00 (20:00),Leverkusen de,2.2,0–3,1.8,pt Porto,30210,BayArena,István Kovács,Match Report,
Group stage,4,Wed,2022-10-12,21:00 (20:00),Barcelona es,2.2,3–3,2.0,it Inter,92302,Camp Nou,Szymon Marciniak,Match Report,
,,,,,,,,,,,,,,
Group stage,5,Tue,2022-10-25,18:45 (17:45),Sevilla es,1.0,3–0,1.1,dk FC Copenhagen,29884,Estadio Ramón Sánchez Pizjuán,Benoît Bastien,Match Report,
Group stage,5,Tue,2022-10-25,18:45 (17:45),RB Salzburg at,1.6,1–2,1.5,eng Chelsea,29520,Red Bull Arena,Sandro Schärer,Match Report,
Group stage,5,Tue,2022-10-25,20:00,Benfica pt,3.3,4–3,2.4,it Juventus,60131,Estádio do Sport Lisboa e Benfica,Srđan Jovanović,Match Report,
Group stage,5,Tue,2022-10-25,20:00,Celtic sct,1.4,1–1,0.8,ua Shakhtar,57478,Celtic Park,Serdar Gözübüyük,Match Report,
Group stage,5,Tue,2022-10-25,21:00 (20:00),Paris S-G fr,2.6,7–2,0.8,il Maccabi Haifa,46435,Parc des Princes,Felix Zwayer,Match Report,
Group stage,5,Tue,2022-10-25,21:00 (20:00),Dortmund de,1.2,0–0,1.2,eng Manchester City,81000,Signal Iduna Park,Davide Massa,Match Report,
Group stage,5,Tue,2022-10-25,21:00 (20:00),RB Leipzig de,2.2,3–2,2.1,es Real Madrid,45228,Red Bull Arena,Daniele Orsato,Match Report,
