Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
10,Fri,2022-10-14,20:30 (19:30),Schalke 04,0.7,0–3,3.2,Hoffenheim,59811,Veltins-Arena,Florian Badstübner,Match Report,
10,Sat,2022-10-15,15:30 (14:30),Wolfsburg,1.8,2–2,0.8,M'Gladbach,26701,Volkswagen Arena,Benjamin Cortus,Match Report,
10,Sat,2022-10-15,15:30 (14:30),Eint Frankfurt,3.9,5–1,0.4,Leverkusen,49700,Deutsche Bank Park,Frank Willenborg,Match Report,
10,Sat,2022-10-15,15:30 (14:30),Werder Bremen,1.3,0–2,1.1,Mainz 05,41000,Wohninvest-Weserstadion,Robert Hartmann,Match Report,
10,Sat,2022-10-15,15:30 (14:30),Stuttgart,2.2,4–1,1.6,Bochum,45400,Mercedes-Benz Arena,Christian Dingert,Match Report,
10,Sat,2022-10-15,18:30 (17:30),RB Leipzig,2.9,3–2,2.3,Hertha BSC,47069,Red Bull Arena,Harm Osmers,Match Report,
10,Sun,2022-10-16,15:30 (14:30),Köln,1.5,3–2,0.4,Augsburg,49000,RheinEnergieSTADION,Felix Zwayer,Match Report,
10,Sun,2022-10-16,17:30 (16:30),Union Berlin,1.9,2–0,0.8,Dortmund,22012,Stadion An der Alten Försterei,Tobias Stieler,Match Report,
10,Sun,2022-10-16,19:30 (18:30),Bayern Munich,2.1,5–0,0.3,Freiburg,75000,Allianz Arena,Sascha Stegemann,Match Report,
,,,,,,,,,,,,,
11,Fri,2022-10-21,20:30 (19:30),Mainz 05,1.9,5–0,0.7,Köln,31610,Mewa Arena,Matthias Jöllenbeck,Match Report,
11,Sat,2022-10-22,15:30 (14:30),Leverkusen,2.2,2–2,1.2,Wolfsburg,26294,BayArena,Felix Brych,Match Report,
11,Sat,2022-10-22,15:30 (14:30),Hoffenheim,0.8,0–2,2.4,Bayern Munich,30150,PreZero Arena,Sven Jablonski,Match Report,
11,Sat,2022-10-22,15:30 (14:30),Dortmund,2.6,5–0,1.0,Stuttgart,81365,Signal Iduna Park,Daniel Schlager,Match Report,
11,Sat,2022-10-22,15:30 (14:30),Freiburg,2.9,2–0,0.5,Werder Bremen,34700,Europa-Park Stadion,Bastian Dankert,Match Report,
11,Sat,2022-10-22,15:30 (14:30),Augsburg,1.6,3–3,2.4,RB Leipzig,25109,WWK Arena,Robert Schröder,Match Report,
11,Sat,2022-10-22,18:30 (17:30),M'Gladbach,1.0,1–3,1.9,Eint Frankfurt,53019,Stadion im Borussia-Park,Daniel Siebert,Match Report,
11,Sun,2022-10-23,15:30 (14:30),Bochum,1.1,2–1,1.0,Union Berlin,25460,Vonovia Ruhrstadion,Deniz Aytekin,Match Report,
11,Sun,2022-10-23,17:30 (16:30),Hertha BSC,0.8,2–1,0.6,Schalke 04,60165,Olympiastadion Berlin,Martin Petersen,Match Report,
,,,,,,,,,,,,,
12,Fri,2022-10-28,20:30 (19:30),Werder Bremen,1.3,1–0,0.4,Hertha BSC,42100,Wohninvest-Weserstadion,Tobias Reichel,Match Report,
