Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sat,2022-09-10,17:00 (16:00),Paris S-G,1.7,1–0,1.1,Brest,45000,Parc des Princes,Jérémie Pignard,Match Report,
7,Sat,2022-09-10,21:00 (20:00),Marseille,2.2,2–1,1.0,Lille,62985,Orange Vélodrome,Benoît Millot,Match Report,
7,Sun,2022-09-11,13:00 (12:00),Strasbourg,1.2,0–0,0.8,Clermont Foot,25089,Stade de la Meinau,Marc Bollengier,Match Report,
7,Sun,2022-09-11,15:00 (14:00),Angers,2.5,2–1,0.7,Montpellier,6165,Stade Raymond Kopa,François Letexier,Match Report,
7,Sun,2022-09-11,15:00 (14:00),Lorient,1.3,3–2,0.5,Nantes,15081,Stade Yves Allainmat - Le Moustoir,Johan Hamel,Match Report,
7,Sun,2022-09-11,15:00 (14:00),Toulouse,1.3,1–0,1.0,Reims,21315,Stadium Municipal,Stéphanie Frappart,Match Report,
7,Sun,2022-09-11,15:00 (14:00),Ajaccio,1.2,0–1,1.2,Nice,7068,Stade François Coty,Eric Wattellier,Match Report,
7,Sun,2022-09-11,17:05 (16:05),Rennes,1.6,5–0,0.7,Auxerre,27837,Roazhon Park,Thomas Léonard,Match Report,
7,Sun,2022-09-11,20:45 (19:45),Monaco,1.7,2–1,2.0,Lyon,7000,Stade Louis II.,Clément Turpin,Match Report,
,,,,,,,,,,,,,
8,Fri,2022-09-16,21:00 (20:00),Auxerre,2.0,1–3,2.5,Lorient,14866,Stade de l'Abbé Deschamps,Ruddy Buquet,Match Report,
8,Sat,2022-09-17,17:00 (16:00),Montpellier,1.8,2–1,0.6,Strasbourg,10780,Stade de la Mosson,Jeremy Stinat,Match Report,
8,Sat,2022-09-17,21:00 (20:00),Lille,1.0,2–1,0.8,Toulouse,33635,Decathlon Arena - Stade Pierre-Mauroy,Pierre Gaillouste,Match Report,
8,Sun,2022-09-18,13:00 (12:00),Reims,0.6,0–3,1.7,Monaco,10000,Stade Auguste-Delaune,Marc Bollengier,Match Report,
8,Sun,2022-09-18,15:00 (14:00),Brest,0.5,0–1,0.5,Ajaccio,11153,Stade Francis-Le Blé,Stéphanie Frappart,Match Report,
8,Sun,2022-09-18,15:00 (14:00),Clermont Foot,1.0,1–3,1.5,Troyes,10753,Stade Gabriel Montpied,Jérôme Brisard,Match Report,
8,Sun,2022-09-18,15:00 (14:00),Nice,1.3,0–1,1.5,Angers,18545,Stade de Nice,Bastien Dechepy,Match Report,
8,Sun,2022-09-18,15:00 (14:00),Marseille,1.6,1–1,1.2,Rennes,62753,Orange Vélodrome,Benoît Bastien,Match Report,
8,Sun,2022-09-18,17:05 (16:05),Nantes,0.9,0–0,0.9,Lens,28854,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Match Report,
8,Sun,2022-09-18,20:45 (19:45),Lyon,1.0,0–1,1.6,Paris S-G,58230,Groupama Stadium,François Letexier,Match Report,
,,,,,,,,,,,,,
9,Fri,2022-09-30,21:00 (20:00),Angers,1.2,0–3,1.6,Marseille,19000,Stade Raymond Kopa,Johan Hamel,Match Report,
9,Sat,2022-10-01,17:00 (16:00),Strasbourg,1.3,1–3,3.2,Rennes,25226,Stade de la Meinau,Eric Wattellier,Match Report,
9,Sat,2022-10-01,21:00 (20:00),Paris S-G,1.0,2–1,0.5,Nice,47000,Parc des Princes,Jérôme Brisard,Match Report,
9,Sun,2022-10-02,13:00 (12:00),Lorient,0.6,2–1,2.2,Lille,14916,Stade Yves Allainmat - Le Moustoir,Hakim Ben El Hadj Salem,Match Report,
9,Sun,2022-10-02,15:00 (14:00),Auxerre,1.4,1–1,0.6,Brest,14630,Stade de l'Abbé Deschamps,Florent Batta,Match Report,
9,Sun,2022-10-02,15:00 (14:00),Troyes,1.6,2–2,1.0,Reims,10164,Stade de l'Aube,Benoît Millot,Match Report,
9,Sun,2022-10-02,15:00 (14:00),Toulouse,1.7,4–2,1.2,Montpellier,21820,Stadium Municipal,Jérémie Pignard,Match Report,
9,Sun,2022-10-02,15:00 (14:00),Ajaccio,1.5,1–3,1.0,Clermont Foot,6610,Stade François Coty,Clément Turpin,Match Report,
9,Sun,2022-10-02,17:05 (16:05),Monaco,2.1,4–1,0.5,Nantes,5202,Stade Louis II.,Thomas Léonard,Match Report,
9,Sun,2022-10-02,20:45 (19:45),Lens,2.9,1–0,0.1,Lyon,36674,Stade Bollaert-Delelis,Benoît Bastien,Match Report,
,,,,,,,,,,,,,
10,Fri,2022-10-07,21:00 (20:00),Lyon,1.4,1–1,0.5,Toulouse,41295,Groupama Stadium,Ruddy Buquet,Match Report,
10,Sat,2022-10-08,17:00 (16:00),Marseille,1.7,1–2,0.2,Ajaccio,63312,Orange Vélodrome,Willy Delajod,Match Report,
10,Sat,2022-10-08,21:00 (20:00),Reims,1.8,0–0,1.2,Paris S-G,20543,Stade Auguste-Delaune,Pierre Gaillouste,Match Report,
10,Sun,2022-10-09,13:00 (12:00),Montpellier,0.7,0–2,1.2,Monaco,13048,Stade Raoul-Barrière,Benoît Millot,Match Report,
10,Sun,2022-10-09,15:00 (14:00),Brest,0.9,1–2,1.1,Lorient,9819,Stade Francis-Le Blé,Bastien Dechepy,Match Report,
10,Sun,2022-10-09,15:00 (14:00),Angers,2.1,2–3,2.0,Strasbourg,8000,Stade Raymond Kopa,Clément Turpin,Match Report,
10,Sun,2022-10-09,15:00 (14:00),Clermont Foot,1.1,2–1,1.0,Auxerre,11119,Stade Gabriel Montpied,Mathieu Vernice,Match Report,
10,Sun,2022-10-09,15:00 (14:00),Nice,2.6,3–2,1.5,Troyes,18053,Stade Municipal du Ray,Johan Hamel,Match Report,
10,Sun,2022-10-09,17:05 (16:05),Rennes,1.8,3–0,0.5,Nantes,27844,Roazhon Park,Florent Batta,Match Report,
10,Sun,2022-10-09,20:45 (19:45),Lille,2.6,1–0,1.2,Lens,48527,Decathlon Arena - Stade Pierre-Mauroy,François Letexier,Match Report,
,,,,,,,,,,,,,
11,Fri,2022-10-14,21:00 (20:00),Strasbourg,0.6,0–3,2.3,Lille,25313,Stade de la Meinau,Jérémie Pignard,Match Report,
11,Sat,2022-10-15,17:00 (16:00),Lorient,0.8,0–0,0.6,Reims,15776,Stade Yves Allainmat - Le Moustoir,Mathieu Vernice,Match Report,
11,Sat,2022-10-15,21:00 (20:00),Lens,1.8,1–0,0.7,Montpellier,37320,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Match Report,
11,Sun,2022-10-16,13:00 (12:00),Toulouse,2.4,3–2,1.2,Angers,21141,Stadium Municipal,Benoît Bastien,Match Report,
11,Sun,2022-10-16,15:00 (14:00),Rennes,1.6,3–2,1.1,Lyon,28152,Roazhon Park,Stéphanie Frappart,Match Report,
11,Sun,2022-10-16,15:00 (14:00),Troyes,0.6,1–1,2.4,Ajaccio,7731,Stade de l'Aube,Jérôme Brisard,Match Report,
11,Sun,2022-10-16,15:00 (14:00),Auxerre,0.8,1–1,1.6,Nice,14125,Stade de l'Abbé Deschamps,Eric Wattellier,Match Report,
11,Sun,2022-10-16,15:00 (14:00),Nantes,2.9,4–1,0.7,Brest,25759,Stade de la Beaujoire - Louis Fonteneau,Marc Bollengier,Match Report,
11,Sun,2022-10-16,17:05 (16:05),Monaco,1.1,1–1,1.9,Clermont Foot,4731,Stade Louis II.,Ruddy Buquet,Match Report,
11,Sun,2022-10-16,20:45 (19:45),Paris S-G,2.5,1–0,1.2,Marseille,47000,Parc des Princes,Clément Turpin,Match Report,
,,,,,,,,,,,,,
12,Fri,2022-10-21,21:00 (20:00),Ajaccio,0.3,0–3,2.5,Paris S-G,10000,Stade François Coty,Johan Hamel,Match Report,
12,Sat,2022-10-22,17:00 (16:00),Montpellier,1.1,1–2,2.7,Lyon,15339,Stade de la Mosson,Thomas Léonard,Match Report,
12,Sat,2022-10-22,21:00 (20:00),Marseille,1.8,0–1,0.9,Lens,56414,Orange Vélodrome,Benoît Millot,Match Report,
12,Sun,2022-10-23,13:00 (12:00),Angers,1.2,1–2,2.2,Rennes,11500,Stade Raymond Kopa,Pierre Gaillouste,Match Report,
12,Sun,2022-10-23,15:00 (14:00),Troyes,0.8,2–2,1.4,Lorient,10000,Stade de l'Aube,Marc Bollengier,Match Report,
12,Sun,2022-10-23,15:00 (14:00),Clermont Foot,1.0,1–3,3.0,Brest,7275,Stade Gabriel Montpied,Jérémie Pignard,Match Report,
12,Sun,2022-10-23,15:00 (14:00),Reims,2.4,2–1,0.7,Auxerre,11411,Stade Auguste-Delaune,Hakim Ben El Hadj Salem,Match Report,
12,Sun,2022-10-23,15:00 (14:00),Toulouse,2.2,2–2,1.8,Strasbourg,21622,Stadium Municipal,Jeremy Stinat,Match Report,
12,Sun,2022-10-23,17:05 (16:05),Nice,1.4,1–1,1.0,Nantes,20166,Stade de Nice,François Letexier,Match Report,
12,Sun,2022-10-23,20:45 (19:45),Lille,2.5,4–3,1.1,Monaco,35362,Decathlon Arena - Stade Pierre-Mauroy,Willy Delajod,Match Report,
,,,,,,,,,,,,,
13,Fri,2022-10-28,21:00 (20:00),Lens,2.4,3–0,0.7,Toulouse,37488,Stade Bollaert-Delelis,Florent Batta,Match Report,
13,Sat,2022-10-29,17:00 (16:00),Paris S-G,2.9,4–3,2.0,Troyes,47000,Parc des Princes,Eric Wattellier,Match Report,
13,Sat,2022-10-29,21:00 (20:00),Strasbourg,1.1,2–2,2.0,Marseille,25687,Stade de la Meinau,Ruddy Buquet,Match Report,
13,Sun,2022-10-30,13:00 (12:00),Auxerre,1.5,1–0,0.4,Ajaccio,15092,Stade de l'Abbé Deschamps,Benoît Millot,Match Report,
13,Sun,2022-10-30,15:00 (14:00),Rennes,1.2,3–0,0.9,Montpellier,26617,Roazhon Park,Bastien Dechepy,Match Report,
13,Sun,2022-10-30,15:00 (14:00),Monaco,1.8,2–0,0.6,Angers,7069,Stade Louis II.,Stéphanie Frappart,Match Report,
13,Sun,2022-10-30,15:00 (14:00),Brest,1.5,0–0,1.0,Reims,11008,Stade Francis-Le Blé,Willy Delajod,Match Report,
13,Sun,2022-10-30,15:00 (14:00),Nantes,1.7,1–1,0.7,Clermont Foot,30894,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,
13,Sun,2022-10-30,17:05 (16:05),Lorient,1.8,1–2,1.8,Nice,16034,Stade Yves Allainmat - Le Moustoir,Clément Turpin,Match Report,
13,Sun,2022-10-30,20:45 (19:45),Lyon,1.6,1–0,1.5,Lille,55790,Matmut Stadium de Gerland,Jérôme Brisard,Match Report,
,,,,,,,,,,,,,
14,Fri,2022-11-04,21:00 (20:00),Troyes,1.9,1–1,1.4,Auxerre,12689,Stade de l'Aube,Pierre Gaillouste,Match Report,
14,Sat,2022-11-05,17:00 (16:00),Ajaccio,3.7,4–2,0.9,Strasbourg,7203,Stade François Coty,Mathieu Vernice,Match Report,
14,Sat,2022-11-05,21:00 (20:00),Angers,0.5,1–2,1.8,Lens,11585,Stade Raymond Kopa,Thomas Léonard,Match Report,
14,Sun,2022-11-06,13:00 (12:00),Lorient,0.8,1–2,1.6,Paris S-G,16778,Stade Yves Allainmat - Le Moustoir,Benoît Bastien,Match Report,
14,Sun,2022-11-06,15:00 (14:00),Toulouse,0.7,0–2,2.4,Monaco,23005,Stadium Municipal,Benoît Millot,Match Report,
