Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sun,2022-09-18,20:45 (19:45),Milan,2.8,1–2,1.1,Napoli,72573,Stadio Giuseppe Meazza,Maurizio Mariani,Match Report,
,,,,,,,,,,,,,
8,Sat,2022-10-01,15:00 (14:00),Napoli,1.3,3–1,0.9,Torino,35953,Stadio San Paolo,Luca Massimi,Match Report,
8,Sat,2022-10-01,18:00 (17:00),Inter,0.8,1–2,0.6,Roma,75389,Stadio Giuseppe Meazza,Davide Massa,Match Report,
8,Sat,2022-10-01,20:45 (19:45),Empoli,1.1,1–3,2.1,Milan,15497,Stadio Carlo Castellani,Gianluca Aureliano,Match Report,
8,Sun,2022-10-02,12:30 (11:30),Lazio,2.8,4–0,1.1,Spezia,41000,Stadio Olimpico,Juan Sacchi,Match Report,
8,Sun,2022-10-02,15:00 (14:00),Sampdoria,0.2,0–3,1.7,Monza,19806,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Match Report,
8,Sun,2022-10-02,15:00 (14:00),Sassuolo,3.3,5–0,0.6,Salernitana,15786,Stadio Città del Tricolore,Maria Sole Ferrieri Caputi,Match Report,
8,Sun,2022-10-02,15:00 (14:00),Lecce,1.1,1–1,1.6,Cremonese,23377,Stadio Comunale Via Del Mare,Livio Marinelli,Match Report,
8,Sun,2022-10-02,18:00 (17:00),Atalanta,1.9,1–0,0.9,Fiorentina,18265,Stadio Atleti Azzurri d'Italia,Massimiliano Irrati,Match Report,
8,Sun,2022-10-02,20:45 (19:45),Juventus,1.8,3–0,0.6,Bologna,34662,Allianz Stadium,Rosario Abisso,Match Report,
8,Mon,2022-10-03,20:45 (19:45),Hellas Verona,0.3,1–2,2.4,Udinese,15352,Stadio Marc'Antonio Bentegodi,Daniele Minelli,Match Report,
,,,,,,,,,,,,,
9,Sat,2022-10-08,15:00 (14:00),Sassuolo,1.1,1–2,2.1,Inter,17574,Stadio Città del Tricolore,Simone Sozza,Match Report,
9,Sat,2022-10-08,18:00 (17:00),Milan,1.8,2–0,0.8,Juventus,75530,Stadio Giuseppe Meazza,Daniele Orsato,Match Report,
9,Sat,2022-10-08,20:45 (19:45),Bologna,0.6,1–1,0.8,Sampdoria,20871,Stadio Renato Dall'Ara,Marco Piccinini,Match Report,
9,Sun,2022-10-09,12:30 (11:30),Torino,2.3,1–1,0.1,Empoli,16793,Stadio Olimpico di Torino,Francesco Fourneau,Match Report,
9,Sun,2022-10-09,15:00 (14:00),Monza,0.5,2–0,0.6,Spezia,12094,Stadio Comunale Brianteo,Daniele Perenzoni,Match Report,
9,Sun,2022-10-09,15:00 (14:00),Salernitana,1.2,2–1,1.2,Hellas Verona,15922,Stadio Arechi,Davide Ghersini,Match Report,
9,Sun,2022-10-09,15:00 (14:00),Udinese,0.9,2–2,1.9,Atalanta,24671,Dacia Arena,Daniele Doveri,Match Report,
9,Sun,2022-10-09,18:00 (17:00),Cremonese,0.8,1–4,3.8,Napoli,14238,Stadio Giovanni Zin,Rosario Abisso,Match Report,
9,Sun,2022-10-09,20:45 (19:45),Roma,2.7,2–1,0.4,Lecce,64018,Stadio Olimpico,Alessandro Prontera,Match Report,
9,Mon,2022-10-10,20:45 (19:45),Fiorentina,2.1,0–4,1.5,Lazio,30574,Stadio Artemio Franchi,Fabio Maresca,Match Report,
,,,,,,,,,,,,,
10,Sat,2022-10-15,15:00 (14:00),Empoli,1.7,1–0,1.4,Monza,7258,Stadio Carlo Castellani,Antonio Rapuano,Match Report,
10,Sat,2022-10-15,18:00 (17:00),Torino,0.6,0–1,2.6,Juventus,22269,Stadio Olimpico di Torino,Maurizio Mariani,Match Report,
10,Sat,2022-10-15,20:45 (19:45),Atalanta,2.7,2–1,0.7,Sassuolo,17772,Stadio Atleti Azzurri d'Italia,Matteo Marcenaro,Match Report,
10,Sun,2022-10-16,12:30 (11:30),Inter,1.6,2–0,0.3,Salernitana,75452,Stadio Giuseppe Meazza,Juan Sacchi,Match Report,
10,Sun,2022-10-16,15:00 (14:00),Lazio,0.7,0–0,0.9,Udinese,45000,Stadio Olimpico,Andrea Colombo,Match Report,
10,Sun,2022-10-16,15:00 (14:00),Spezia,1.3,2–2,2.2,Cremonese,8400,Stadio Alberto Picco,Gianluca Manganiello,Match Report,
10,Sun,2022-10-16,18:00 (17:00),Napoli,2.7,3–2,1.0,Bologna,,Stadio San Paolo,Francesco Cosso,Match Report,
10,Sun,2022-10-16,20:45 (19:45),Hellas Verona,1.7,1–2,1.8,Milan,22904,Stadio Marc'Antonio Bentegodi,Davide Massa,Match Report,
10,Mon,2022-10-17,18:30 (17:30),Sampdoria,0.4,0–1,2.0,Roma,,Stadio Comunale Luigi Ferraris,Marco Di Bello,Match Report,
10,Mon,2022-10-17,20:45 (19:45),Lecce,1.3,1–1,0.7,Fiorentina,,Stadio Comunale Via Del Mare,Luca Massimi,Match Report,
,,,,,,,,,,,,,
11,Fri,2022-10-21,20:45 (19:45),Juventus,2.8,4–0,1.0,Empoli,,Allianz Stadium,Michael Fabbri,Match Report,
11,Sat,2022-10-22,15:00 (14:00),Salernitana,1.8,1–0,0.8,Spezia,,Stadio Arechi,Daniele Chiffi,Match Report,
11,Sat,2022-10-22,18:00 (17:00),Milan,1.4,4–1,1.4,Monza,,Stadio Giuseppe Meazza,Livio Marinelli,Match Report,
11,Sat,2022-10-22,20:45 (19:45),Fiorentina,1.3,3–4,2.1,Inter,,Stadio Artemio Franchi,Paolo Valeri,Match Report,
11,Sun,2022-10-23,12:30 (11:30),Udinese,1.7,1–2,1.6,Torino,,Dacia Arena,Matteo Marchetti,Match Report,
11,Sun,2022-10-23,15:00 (14:00),Bologna,,2–0,,Lecce,,Stadio Renato Dall'Ara,Simone Sozza,Match Report,
11,Sun,2022-10-23,18:00 (17:00),Atalanta,,0–2,,Lazio,,Stadio Atleti Azzurri d'Italia,Rosario Abisso,Match Report,
11,Sun,2022-10-23,20:45 (19:45),Roma,,0–1,,Napoli,,Stadio Olimpico,Massimiliano Irrati,Match Report,
11,Mon,2022-10-24,18:30 (17:30),Cremonese,,,,Sampdoria,,Stadio Giovanni Zin,,Head-to-Head,
11,Mon,2022-10-24,20:45 (19:45),Sassuolo,,,,Hellas Verona,,Stadio Città del Tricolore,,Head-to-Head,
,,,,,,,,,,,,,
12,Sat,2022-10-29,15:00 (14:00),Napoli,,,,Sassuolo,,Stadio San Paolo,,Head-to-Head,
12,Sat,2022-10-29,18:00 (17:00),Lecce,,,,Juventus,,Stadio Comunale Via Del Mare,,Head-to-Head,
12,Sat,2022-10-29,20:45 (19:45),Inter,,,,Sampdoria,,Stadio Giuseppe Meazza,,Head-to-Head,
12,Sun,2022-10-30,12:30 (11:30),Empoli,,,,Atalanta,,Stadio Carlo Castellani,,Head-to-Head,
12,Sun,2022-10-30,15:00 (14:00),Cremonese,,,,Udinese,,Stadio Giovanni Zin,,Head-to-Head,
12,Sun,2022-10-30,15:00 (14:00),Spezia,,,,Fiorentina,,Stadio Alberto Picco,,Head-to-Head,
12,Sun,2022-10-30,18:00 (17:00),Lazio,,,,Salernitana,,Stadio Olimpico,,Head-to-Head,
12,Sun,2022-10-30,20:45 (19:45),Torino,,,,Milan,,Stadio Olimpico di Torino,,Head-to-Head,
12,Mon,2022-10-31,18:30 (17:30),Hellas Verona,,,,Roma,,Stadio Marc'Antonio Bentegodi,,Head-to-Head,
12,Mon,2022-10-31,20:45 (19:45),Monza,,,,Bologna,,Stadio Comunale Brianteo,,Head-to-Head,
,,,,,,,,,,,,,
13,Fri,2022-11-04,20:45 (19:45),Udinese,,,,Lecce,,Dacia Arena,,Head-to-Head,
13,Sat,2022-11-05,15:00 (14:00),Empoli,,,,Sassuolo,,Stadio Carlo Castellani,,Head-to-Head,
13,Sat,2022-11-05,15:00 (14:00),Salernitana,,,,Cremonese,,Stadio Arechi,,Head-to-Head,
13,Sat,2022-11-05,18:00 (17:00),Atalanta,,,,Napoli,,Stadio Atleti Azzurri d'Italia,,Head-to-Head,
13,Sat,2022-11-05,20:45 (19:45),Milan,,,,Spezia,,Stadio Giuseppe Meazza,,Head-to-Head,
13,Sun,2022-11-06,12:30 (11:30),Bologna,,,,Torino,,Stadio Renato Dall'Ara,,Head-to-Head,
13,Sun,2022-11-06,15:00 (14:00),Sampdoria,,,,Fiorentina,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
13,Sun,2022-11-06,15:00 (14:00),Monza,,,,Hellas Verona,,Stadio Comunale Brianteo,,Head-to-Head,
13,Sun,2022-11-06,18:00 (17:00),Roma,,,,Lazio,,Stadio Olimpico,,Head-to-Head,
13,Sun,2022-11-06,20:45 (19:45),Juventus,,,,Inter,,Allianz Stadium,,Head-to-Head,
,,,,,,,,,,,,,
14,Tue,2022-11-08,18:30 (17:30),Napoli,,,,Empoli,,Stadio San Paolo,,Head-to-Head,
14,Tue,2022-11-08,18:30 (17:30),Spezia,,,,Udinese,,Stadio Alberto Picco,,Head-to-Head,
14,Tue,2022-11-08,20:45 (19:45),Cremonese,,,,Milan,,Stadio Giovanni Zin,,Head-to-Head,
14,Wed,2022-11-09,18:30 (17:30),Lecce,,,,Atalanta,,Stadio Comunale Via Del Mare,,Head-to-Head,
14,Wed,2022-11-09,18:30 (17:30),Sassuolo,,,,Roma,,Stadio Città del Tricolore,,Head-to-Head,
14,Wed,2022-11-09,20:45 (19:45),Fiorentina,,,,Salernitana,,Stadio Artemio Franchi,,Head-to-Head,
14,Wed,2022-11-09,20:45 (19:45),Torino,,,,Sampdoria,,Stadio Olimpico di Torino,,Head-to-Head,
14,Wed,2022-11-09,20:45 (19:45),Inter,,,,Bologna,,Stadio Giuseppe Meazza,,Head-to-Head,
14,Thu,2022-11-10,18:30 (17:30),Hellas Verona,,,,Juventus,,Stadio Marc'Antonio Bentegodi,,Head-to-Head,
14,Thu,2022-11-10,20:45 (19:45),Lazio,,,,Monza,,Stadio Olimpico,,Head-to-Head,
,,,,,,,,,,,,,
15,Fri,2022-11-11,20:45 (19:45),Empoli,,,,Cremonese,,Stadio Carlo Castellani,,Head-to-Head,
15,Sat,2022-11-12,15:00 (14:00),Napoli,,,,Udinese,,Stadio San Paolo,,Head-to-Head,
15,Sat,2022-11-12,18:00 (17:00),Sampdoria,,,,Lecce,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
15,Sat,2022-11-12,20:45 (19:45),Bologna,,,,Sassuolo,,Stadio Renato Dall'Ara,,Head-to-Head,
15,Sun,2022-11-13,12:30 (11:30),Atalanta,,,,Inter,,Stadio Atleti Azzurri d'Italia,,Head-to-Head,
15,Sun,2022-11-13,15:00 (14:00),Monza,,,,Salernitana,,Stadio Comunale Brianteo,,Head-to-Head,
15,Sun,2022-11-13,15:00 (14:00),Hellas Verona,,,,Spezia,,Stadio Marc'Antonio Bentegodi,,Head-to-Head,
15,Sun,2022-11-13,15:00 (14:00),Roma,,,,Torino,,Stadio Olimpico,,Head-to-Head,
15,Sun,2022-11-13,18:00 (17:00),Milan,,,,Fiorentina,,Stadio Giuseppe Meazza,,Head-to-Head,
15,Sun,2022-11-13,20:45 (19:45),Juventus,,,,Lazio,,Allianz Stadium,,Head-to-Head,
,,,,,,,,,,,,,
16,Wed,2023-01-04,12:30 (11:30),Sassuolo,,,,Sampdoria,,Stadio Città del Tricolore,,Head-to-Head,
16,Wed,2023-01-04,12:30 (11:30),Salernitana,,,,Milan,,Stadio Arechi,,Head-to-Head,
16,Wed,2023-01-04,14:30 (13:30),Torino,,,,Hellas Verona,,Stadio Olimpico di Torino,,Head-to-Head,
16,Wed,2023-01-04,14:30 (13:30),Spezia,,,,Atalanta,,Stadio Alberto Picco,,Head-to-Head,
16,Wed,2023-01-04,16:30 (15:30),Lecce,,,,Lazio,,Stadio Comunale Via Del Mare,,Head-to-Head,
16,Wed,2023-01-04,16:30 (15:30),Roma,,,,Bologna,,Stadio Olimpico,,Head-to-Head,
16,Wed,2023-01-04,18:30 (17:30),Fiorentina,,,,Monza,,Stadio Artemio Franchi,,Head-to-Head,
16,Wed,2023-01-04,18:30 (17:30),Cremonese,,,,Juventus,,Stadio Giovanni Zin,,Head-to-Head,
16,Wed,2023-01-04,20:45 (19:45),Inter,,,,Napoli,,Stadio Giuseppe Meazza,,Head-to-Head,
16,Wed,2023-01-04,20:45 (19:45),Udinese,,,,Empoli,,Dacia Arena,,Head-to-Head,
,,,,,,,,,,,,,
17,Sun,2023-01-08,,Fiorentina,,,,Sassuolo,,,,Head-to-Head,
17,Sun,2023-01-08,,Lazio,,,,Empoli,,,,Head-to-Head,
17,Sun,2023-01-08,,Salernitana,,,,Torino,,,,Head-to-Head,
17,Sun,2023-01-08,,Monza,,,,Inter,,,,Head-to-Head,
17,Sun,2023-01-08,,Milan,,,,Roma,,,,Head-to-Head,
17,Sun,2023-01-08,,Spezia,,,,Lecce,,,,Head-to-Head,
