Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sat,2022-09-17,14:00 (13:00),Mallorca,0.6,1–0,0.4,Almería,12687,Iberostar Estadi,Juan Martínez,Match Report,
6,Sat,2022-09-17,16:15 (15:15),Barcelona,4.1,3–0,0.0,Elche,85073,Camp Nou,Alejandro Muñíz,Match Report,
6,Sat,2022-09-17,18:30 (17:30),Valencia,1.8,3–0,0.4,Celta Vigo,40965,Estadio de Mestalla,Pablo González,Match Report,
6,Sat,2022-09-17,21:00 (20:00),Athletic Club,2.6,3–2,1.0,Rayo Vallecano,43484,San Mamés,Antonio Matéu Lahoz,Match Report,
6,Sun,2022-09-18,14:00 (13:00),Osasuna,0.9,0–2,1.4,Getafe,18255,Estadio El Sadar,Isidro Díaz de Mera,Match Report,
6,Sun,2022-09-18,16:15 (15:15),Villarreal,1.6,1–1,0.5,Sevilla,18292,Estadio Ciudad de Valencia,Alejandro Hernández,Match Report,
6,Sun,2022-09-18,18:30 (17:30),Betis,1.6,2–1,1.2,Girona,52229,Estadio Benito Villamarín,Miguel Ángel Ortiz Arias,Match Report,
6,Sun,2022-09-18,18:30 (17:30),Real Sociedad,1.9,2–1,0.9,Espanyol,31511,Estadio Municipal de Anoeta,Carlos del Cerro,Match Report,
6,Sun,2022-09-18,21:00 (20:00),Atlético Madrid,1.0,1–2,0.9,Real Madrid,66881,Estadio Wanda Metropolitano,José Luis Munuera,Match Report,
,,,,,,,,,,,,,
7,Fri,2022-09-30,21:00 (20:00),Athletic Club,1.9,4–0,0.7,Almería,42110,San Mamés,Juan Pulido,Match Report,
7,Sat,2022-10-01,14:00 (13:00),Cádiz,0.7,0–0,1.4,Villarreal,15516,Estadio Nuevo Mirandilla,Javier Villanueva,Match Report,
7,Sat,2022-10-01,16:15 (15:15),Getafe,2.5,2–3,1.5,Valladolid,10958,Coliseum Alfonso Pérez,Alejandro Muñíz,Match Report,
7,Sat,2022-10-01,18:30 (17:30),Sevilla,0.5,0–2,2.3,Atlético Madrid,37754,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Match Report,
7,Sat,2022-10-01,21:00 (20:00),Mallorca,0.9,0–1,0.5,Barcelona,18103,Iberostar Estadi,Jesús Gil,Match Report,
7,Sun,2022-10-02,14:00 (13:00),Espanyol,0.7,2–2,0.9,Valencia,19766,RCDE Stadium,Valentín Pizarro,Match Report,
7,Sun,2022-10-02,16:15 (15:15),Celta Vigo,1.1,1–0,0.9,Betis,14344,Estadio de Balaídos,César Soto,Match Report,
7,Sun,2022-10-02,18:30 (17:30),Girona,1.1,3–5,2.1,Real Sociedad,12217,Estadi Municipal de Montilivi,Mario Melero,Match Report,
7,Sun,2022-10-02,21:00 (20:00),Real Madrid,2.6,1–1,0.5,Osasuna,55410,Estadio Santiago Bernabéu,Guillermo Cuadra,Match Report,
7,Mon,2022-10-03,21:00 (20:00),Rayo Vallecano,0.8,2–1,0.6,Elche,11662,Estadio del Rayo Vallecano,Jorge Figueroa,Match Report,
,,,,,,,,,,,,,
8,Fri,2022-10-07,21:00 (20:00),Osasuna,1.5,1–2,2.2,Valencia,20260,Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
8,Sat,2022-10-08,14:00 (13:00),Almería,1.3,3–1,0.9,Rayo Vallecano,10783,Estadio de los Juegos Mediterráneos,Pablo González,Match Report,
8,Sat,2022-10-08,16:15 (15:15),Atlético Madrid,1.5,2–1,0.5,Girona,54069,Estadio Wanda Metropolitano,Juan Martínez,Match Report,
8,Sat,2022-10-08,18:30 (17:30),Sevilla,1.3,1–1,1.6,Athletic Club,36502,Estadio Ramón Sánchez Pizjuán,Jesús Gil,Match Report,
8,Sat,2022-10-08,21:00 (20:00),Getafe,0.3,0–1,1.2,Real Madrid,14502,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
8,Sun,2022-10-09,14:00 (13:00),Valladolid,0.6,0–0,0.3,Betis,22561,Estadio Municipal José Zorrilla,Carlos del Cerro,Match Report,
8,Sun,2022-10-09,16:15 (15:15),Cádiz,1.4,2–2,1.0,Espanyol,16572,Estadio Nuevo Mirandilla,Alejandro Hernández,Match Report,
8,Sun,2022-10-09,18:30 (17:30),Real Sociedad,1.8,1–0,0.4,Villarreal,32689,Estadio Municipal de Anoeta,César Soto,Match Report,
8,Sun,2022-10-09,21:00 (20:00),Barcelona,2.1,1–0,1.5,Celta Vigo,81525,Camp Nou,José Luis Munuera,Match Report,
8,Mon,2022-10-10,21:00 (20:00),Elche,0.4,1–1,2.6,Mallorca,12000,Estadio Manuel Martínez Valero,Valentín Pizarro,Match Report,
,,,,,,,,,,,,,
9,Fri,2022-10-14,21:00 (20:00),Rayo Vallecano,1.4,0–0,0.3,Getafe,13076,Estadio del Rayo Vallecano,Mario Melero,Match Report,
9,Sat,2022-10-15,14:00 (13:00),Girona,2.1,1–1,1.6,Cádiz,9927,Estadi Municipal de Montilivi,Ricardo de Burgos,Match Report,
9,Sat,2022-10-15,16:15 (15:15),Valencia,2.4,2–2,1.5,Elche,41805,Estadio de Mestalla,Juan Pulido,Match Report,
9,Sat,2022-10-15,18:30 (17:30),Mallorca,1.2,0–1,0.2,Sevilla,15300,Iberostar Estadi,Javier Villanueva,Match Report,
9,Sat,2022-10-15,21:00 (20:00),Athletic Club,1.1,0–1,0.3,Atlético Madrid,48391,San Mamés,Jorge Figueroa,Match Report,
9,Sun,2022-10-16,14:00 (13:00),Celta Vigo,0.7,1–2,0.6,Real Sociedad,13101,Estadio de Balaídos,Guillermo Cuadra,Match Report,
9,Sun,2022-10-16,16:15 (15:15),Real Madrid,1.4,3–1,2.8,Barcelona,62876,Estadio Santiago Bernabéu,José Sánchez,Match Report,
9,Sun,2022-10-16,18:30 (17:30),Espanyol,1.2,1–0,0.7,Valladolid,17770,RCDE Stadium,Antonio Matéu Lahoz,Match Report,
9,Sun,2022-10-16,21:00 (20:00),Betis,2.5,3–1,1.3,Almería,46112,Estadio Benito Villamarín,Alejandro Muñíz,Match Report,
9,Mon,2022-10-17,21:00 (20:00),Villarreal,1.8,2–0,0.4,Osasuna,,Estadio Ciudad de Valencia,Pablo González,Match Report,
,,,,,,,,,,,,,
10,Tue,2022-10-18,19:00 (18:00),Sevilla,1.7,1–1,1.5,Valencia,37353,Estadio Ramón Sánchez Pizjuán,César Soto,Match Report,
10,Tue,2022-10-18,20:00 (19:00),Getafe,0.9,2–2,0.8,Athletic Club,11395,Coliseum Alfonso Pérez,José Luis Munuera,Match Report,
10,Tue,2022-10-18,21:00 (20:00),Atlético Madrid,1.0,1–1,1.8,Rayo Vallecano,46803,Estadio Wanda Metropolitano,Javier Villanueva,Match Report,
10,Wed,2022-10-19,19:00 (18:00),Valladolid,1.6,4–1,2.6,Celta Vigo,16547,Estadio Municipal José Zorrilla,Valentín Pizarro,Match Report,
10,Wed,2022-10-19,19:00 (18:00),Cádiz,0.9,0–0,0.8,Betis,18505,Estadio Nuevo Mirandilla,Antonio Matéu Lahoz,Match Report,
10,Wed,2022-10-19,20:00 (19:00),Real Sociedad,1.7,1–0,0.8,Mallorca,27085,Estadio Municipal de Anoeta,Miguel Ángel Ortiz Arias,Match Report,
10,Wed,2022-10-19,21:00 (20:00),Elche,0.8,0–3,2.0,Real Madrid,30236,Estadio Manuel Martínez Valero,Jesús Gil,Match Report,
10,Thu,2022-10-20,19:00 (18:00),Almería,2.2,3–2,2.8,Girona,11194,Estadio de los Juegos Mediterráneos,Guillermo Cuadra,Match Report,
10,Thu,2022-10-20,20:00 (19:00),Osasuna,1.1,1–0,1.1,Espanyol,17832,Estadio El Sadar,Mario Melero,Match Report,
10,Thu,2022-10-20,21:00 (20:00),Barcelona,2.2,3–0,0.7,Villarreal,73261,Camp Nou,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,
11,Sat,2022-10-22,14:00 (13:00),Rayo Vallecano,3.6,5–1,0.3,Cádiz,12975,Estadio del Rayo Vallecano,Alejandro Muñíz,Match Report,
11,Sat,2022-10-22,16:15 (15:15),Valladolid,0.8,1–0,0.8,Real Sociedad,21175,Estadio Municipal José Zorrilla,Jorge Figueroa,Match Report,
11,Sat,2022-10-22,18:30 (17:30),Valencia,1.1,1–2,1.3,Mallorca,41199,Estadio de Mestalla,José Sánchez,Match Report,
11,Sat,2022-10-22,21:00 (20:00),Real Madrid,2.4,3–1,0.4,Sevilla,59625,Estadio Santiago Bernabéu,Alejandro Hernández,Match Report,
11,Sun,2022-10-23,14:00 (13:00),Espanyol,,2–2,,Elche,17560,RCDE Stadium,José Luis Munuera,Match Report,
11,Sun,2022-10-23,16:15 (15:15),Betis,,1–2,,Atlético Madrid,50179,Estadio Benito Villamarín,Jesús Gil,Match Report,
11,Sun,2022-10-23,18:30 (17:30),Girona,,1–1,,Osasuna,10032,Estadi Municipal de Montilivi,Juan Pulido,Match Report,
11,Sun,2022-10-23,18:30 (17:30),Villarreal,,2–1,,Almería,13816,Estadio Ciudad de Valencia,Ricardo de Burgos,Match Report,
11,Sun,2022-10-23,21:00 (20:00),Barcelona,,4–0,,Athletic Club,84817,Camp Nou,Juan Martínez,Match Report,
11,Mon,2022-10-24,21:00 (20:00),Celta Vigo,,,,Getafe,,Estadio de Balaídos,,Head-to-Head,
,,,,,,,,,,,,,
12,Fri,2022-10-28,21:00 (20:00),Mallorca,,,,Espanyol,,Iberostar Estadi,,Head-to-Head,
12,Sat,2022-10-29,14:00 (13:00),Almería,,,,Celta Vigo,,Estadio de los Juegos Mediterráneos,,Head-to-Head,
12,Sat,2022-10-29,16:15 (15:15),Cádiz,,,,Atlético Madrid,,Estadio Nuevo Mirandilla,,Head-to-Head,
12,Sat,2022-10-29,18:30 (17:30),Sevilla,,,,Rayo Vallecano,,Estadio Ramón Sánchez Pizjuán,,Head-to-Head,
12,Sat,2022-10-29,21:00 (20:00),Valencia,,,,Barcelona,,Estadio de Mestalla,,Head-to-Head,
12,Sun,2022-10-30,14:00 (13:00),Osasuna,,,,Valladolid,,Estadio El Sadar,,Head-to-Head,
12,Sun,2022-10-30,16:15 (15:15),Real Madrid,,,,Girona,,Estadio Santiago Bernabéu,,Head-to-Head,
12,Sun,2022-10-30,18:30 (17:30),Athletic Club,,,,Villarreal,,San Mamés,,Head-to-Head,
12,Sun,2022-10-30,21:00 (20:00),Real Sociedad,,,,Betis,,Estadio Municipal de Anoeta,,Head-to-Head,
12,Mon,2022-10-31,21:00 (20:00),Elche,,,,Getafe,,Estadio Manuel Martínez Valero,,Head-to-Head,
,,,,,,,,,,,,,
13,Fri,2022-11-04,21:00 (20:00),Girona,,,,Athletic Club,,Estadi Municipal de Montilivi,,Head-to-Head,
13,Sat,2022-11-05,14:00 (13:00),Getafe,,,,Cádiz,,Coliseum Alfonso Pérez,,Head-to-Head,
13,Sat,2022-11-05,16:15 (15:15),Valladolid,,,,Elche,,Estadio Municipal José Zorrilla,,Head-to-Head,
13,Sat,2022-11-05,18:30 (17:30),Celta Vigo,,,,Osasuna,,Estadio de Balaídos,,Head-to-Head,
13,Sat,2022-11-05,21:00 (20:00),Barcelona,,,,Almería,,Camp Nou,,Head-to-Head,
13,Sun,2022-11-06,14:00 (13:00),Atlético Madrid,,,,Espanyol,,Estadio Wanda Metropolitano,,Head-to-Head,
13,Sun,2022-11-06,16:15 (15:15),Real Sociedad,,,,Valencia,,Estadio Municipal de Anoeta,,Head-to-Head,
13,Sun,2022-11-06,18:30 (17:30),Villarreal,,,,Mallorca,,Estadio Ciudad de Valencia,,Head-to-Head,
13,Sun,2022-11-06,21:00 (20:00),Betis,,,,Sevilla,,Estadio Benito Villamarín,,Head-to-Head,
13,Mon,2022-11-07,21:00 (20:00),Rayo Vallecano,,,,Real Madrid,,Estadio del Rayo Vallecano,,Head-to-Head,
,,,,,,,,,,,,,
14,Tue,2022-11-08,19:00 (18:00),Elche,,,,Girona,,Estadio Manuel Martínez Valero,,Head-to-Head,
14,Tue,2022-11-08,20:00 (19:00),Athletic Club,,,,Valladolid,,San Mamés,,Head-to-Head,
14,Tue,2022-11-08,21:30 (20:30),Osasuna,,,,Barcelona,,Estadio El Sadar,,Head-to-Head,
14,Wed,2022-11-09,19:00 (18:00),Sevilla,,,,Real Sociedad,,Estadio Ramón Sánchez Pizjuán,,Head-to-Head,
14,Wed,2022-11-09,19:00 (18:00),Almería,,,,Getafe,,Estadio de los Juegos Mediterráneos,,Head-to-Head,
14,Wed,2022-11-09,20:00 (19:00),Espanyol,,,,Villarreal,,RCDE Stadium,,Head-to-Head,
14,Wed,2022-11-09,21:30 (20:30),Mallorca,,,,Atlético Madrid,,Iberostar Estadi,,Head-to-Head,
14,Thu,2022-11-10,19:00 (18:00),Rayo Vallecano,,,,Celta Vigo,,Estadio del Rayo Vallecano,,Head-to-Head,
14,Thu,2022-11-10,20:00 (19:00),Valencia,,,,Betis,,Estadio de Mestalla,,Head-to-Head,
14,Thu,2022-11-10,21:30 (20:30),Real Madrid,,,,Cádiz,,Estadio Santiago Bernabéu,,Head-to-Head,
,,,,,,,,,,,,,
15,Sat,2022-12-31,,Barcelona,,,,Espanyol,,,,Head-to-Head,
15,Sat,2022-12-31,,Villarreal,,,,Valencia,,,,Head-to-Head,
15,Sat,2022-12-31,,Atlético Madrid,,,,Elche,,,,Head-to-Head,
15,Sat,2022-12-31,,Valladolid,,,,Real Madrid,,,,Head-to-Head,
15,Sat,2022-12-31,,Getafe,,,,Mallorca,,,,Head-to-Head,
15,Sat,2022-12-31,,Girona,,,,Rayo Vallecano,,,,Head-to-Head,
15,Sat,2022-12-31,,Cádiz,,,,Almería,,,,Head-to-Head,
15,Sat,2022-12-31,,Real Sociedad,,,,Osasuna,,,,Head-to-Head,
15,Sat,2022-12-31,,Celta Vigo,,,,Sevilla,,,,Head-to-Head,
15,Sat,2022-12-31,,Betis,,,,Athletic Club,,,,Head-to-Head,
,,,,,,,,,,,,,
16,Sun,2023-01-08,,Mallorca,,,,Valladolid,,,,Head-to-Head,
16,Sun,2023-01-08,,Atlético Madrid,,,,Barcelona,,,,Head-to-Head,
16,Sun,2023-01-08,,Elche,,,,Celta Vigo,,,,Head-to-Head,
16,Sun,2023-01-08,,Sevilla,,,,Getafe,,,,Head-to-Head,
16,Sun,2023-01-08,,Valencia,,,,Cádiz,,,,Head-to-Head,
16,Sun,2023-01-08,,Villarreal,,,,Real Madrid,,,,Head-to-Head,
16,Sun,2023-01-08,,Rayo Vallecano,,,,Betis,,,,Head-to-Head,
16,Sun,2023-01-08,,Athletic Club,,,,Osasuna,,,,Head-to-Head,
16,Sun,2023-01-08,,Espanyol,,,,Girona,,,,Head-to-Head,
