Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
8,Sun,2022-09-18,15:00 (14:00),Brest,0.7,0–1,0.6,Ajaccio,11153,Stade Francis-Le Blé,Stéphanie Frappart,Match Report,
8,Sun,2022-09-18,15:00 (14:00),Nice,0.8,0–1,1.7,Angers,18545,Stade de Nice,Bastien Dechepy,Match Report,
8,Sun,2022-09-18,15:00 (14:00),Marseille,1.0,1–1,0.6,Rennes,62753,Orange Vélodrome,Benoît Bastien,Match Report,
8,Sun,2022-09-18,17:05 (16:05),Nantes,1.0,0–0,0.9,Lens,28854,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Match Report,
8,Sun,2022-09-18,20:45 (19:45),Lyon,0.9,0–1,2.1,Paris S-G,58230,Groupama Stadium,François Letexier,Match Report,
,,,,,,,,,,,,,
9,Fri,2022-09-30,21:00 (20:00),Angers,1.5,0–3,1.5,Marseille,19000,Stade Raymond Kopa,Johan Hamel,Match Report,
9,Sat,2022-10-01,17:00 (16:00),Strasbourg,1.3,1–3,2.8,Rennes,25226,Stade de la Meinau,Eric Wattellier,Match Report,
9,Sat,2022-10-01,21:00 (20:00),Paris S-G,0.9,2–1,0.4,Nice,47000,Parc des Princes,Jérôme Brisard,Match Report,
9,Sun,2022-10-02,13:00 (12:00),Lorient,0.5,2–1,2.8,Lille,14916,Stade Yves Allainmat - Le Moustoir,Hakim Ben El Hadj Salem,Match Report,
9,Sun,2022-10-02,15:00 (14:00),Ajaccio,1.5,1–3,1.2,Clermont Foot,6610,Stade François Coty,Clément Turpin,Match Report,
9,Sun,2022-10-02,15:00 (14:00),Toulouse,1.7,4–2,1.5,Montpellier,21820,Stadium Municipal,Jérémie Pignard,Match Report,
9,Sun,2022-10-02,15:00 (14:00),Troyes,2.1,2–2,1.1,Reims,10164,Stade de l'Aube,Benoît Millot,Match Report,
9,Sun,2022-10-02,15:00 (14:00),Auxerre,1.5,1–1,0.6,Brest,14630,Stade de l'Abbé Deschamps,Florent Batta,Match Report,
9,Sun,2022-10-02,17:05 (16:05),Monaco,2.1,4–1,0.4,Nantes,5202,Stade Louis II.,Thomas Léonard,Match Report,
9,Sun,2022-10-02,20:45 (19:45),Lens,2.6,1–0,0.1,Lyon,36674,Stade Bollaert-Delelis,Benoît Bastien,Match Report,
,,,,,,,,,,,,,
10,Fri,2022-10-07,21:00 (20:00),Lyon,1.4,1–1,0.7,Toulouse,41295,Groupama Stadium,Ruddy Buquet,Match Report,
10,Sat,2022-10-08,17:00 (16:00),Marseille,1.6,1–2,0.2,Ajaccio,63312,Orange Vélodrome,Willy Delajod,Match Report,
10,Sat,2022-10-08,21:00 (20:00),Reims,1.5,0–0,1.0,Paris S-G,20543,Stade Auguste-Delaune II,Pierre Gaillouste,Match Report,
10,Sun,2022-10-09,13:00 (12:00),Montpellier,1.0,0–2,1.1,Monaco,13048,Stade de la Méditerranée,Benoît Millot,Match Report,
10,Sun,2022-10-09,15:00 (14:00),Angers,1.9,2–3,1.9,Strasbourg,8000,Stade Raymond Kopa,Clément Turpin,Match Report,
10,Sun,2022-10-09,15:00 (14:00),Clermont Foot,1.2,2–1,1.1,Auxerre,11119,Stade Gabriel Montpied,Mathieu Vernice,Match Report,
10,Sun,2022-10-09,15:00 (14:00),Nice,2.2,3–2,1.4,Troyes,18053,Stade Municipal du Ray,Johan Hamel,Match Report,
10,Sun,2022-10-09,15:00 (14:00),Brest,0.9,1–2,1.4,Lorient,9819,Stade Francis-Le Blé,Bastien Dechepy,Match Report,
10,Sun,2022-10-09,17:05 (16:05),Rennes,1.9,3–0,0.4,Nantes,27844,Roazhon Park,Florent Batta,Match Report,
10,Sun,2022-10-09,20:45 (19:45),Lille,2.1,1–0,1.2,Lens,48527,Stade Pierre-Mauroy,François Letexier,Match Report,
,,,,,,,,,,,,,
11,Fri,2022-10-14,21:00 (20:00),Strasbourg,0.5,0–3,2.4,Lille,25313,Stade de la Meinau,Jérémie Pignard,Match Report,
11,Sat,2022-10-15,17:00 (16:00),Lorient,0.7,0–0,0.6,Reims,15776,Stade Yves Allainmat - Le Moustoir,Mathieu Vernice,Match Report,
11,Sat,2022-10-15,21:00 (20:00),Lens,2.3,1–0,0.5,Montpellier,37320,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Match Report,
11,Sun,2022-10-16,13:00 (12:00),Toulouse,2.0,3–2,0.7,Angers,21141,Stadium Municipal,Benoît Bastien,Match Report,
11,Sun,2022-10-16,15:00 (14:00),Auxerre,0.5,1–1,1.8,Nice,14125,Stade de l'Abbé Deschamps,Eric Wattellier,Match Report,
11,Sun,2022-10-16,15:00 (14:00),Troyes,0.6,1–1,2.0,Ajaccio,7731,Stade de l'Aube,Jérôme Brisard,Match Report,
11,Sun,2022-10-16,15:00 (14:00),Nantes,3.0,4–1,0.6,Brest,25759,Stade de la Beaujoire - Louis Fonteneau,Marc Bollengier,Match Report,
11,Sun,2022-10-16,15:00 (14:00),Rennes,1.6,3–2,0.8,Lyon,28152,Roazhon Park,Stéphanie Frappart,Match Report,
11,Sun,2022-10-16,17:05 (16:05),Monaco,1.1,1–1,2.1,Clermont Foot,,Stade Louis II.,Ruddy Buquet,Match Report,
11,Sun,2022-10-16,20:45 (19:45),Paris S-G,2.4,1–0,1.2,Marseille,47000,Parc des Princes,Clément Turpin,Match Report,
,,,,,,,,,,,,,
12,Fri,2022-10-21,21:00 (20:00),Ajaccio,0.3,0–3,2.8,Paris S-G,,Stade François Coty,Johan Hamel,Match Report,
12,Sat,2022-10-22,17:00 (16:00),Montpellier,1.2,1–2,2.4,Lyon,,Stade de la Mosson,Thomas Léonard,Match Report,
12,Sat,2022-10-22,21:00 (20:00),Marseille,1.4,0–1,0.5,Lens,,Orange Vélodrome,Benoît Millot,Match Report,
12,Sun,2022-10-23,13:00 (12:00),Angers,,1–2,,Rennes,,Stade Raymond Kopa,Pierre Gaillouste,Match Report,
12,Sun,2022-10-23,15:00 (14:00),Clermont Foot,,1–3,,Brest,,Stade Gabriel Montpied,Jérémie Pignard,Match Report,
12,Sun,2022-10-23,15:00 (14:00),Toulouse,,2–2,,Strasbourg,,Stadium Municipal,Jeremy Stinat,Match Report,
12,Sun,2022-10-23,15:00 (14:00),Troyes,,2–2,,Lorient,,Stade de l'Aube,Marc Bollengier,Match Report,
12,Sun,2022-10-23,15:00 (14:00),Reims,,2–1,,Auxerre,,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
12,Sun,2022-10-23,17:05 (16:05),Nice,,1–1,,Nantes,,Stade de Nice,François Letexier,Match Report,
12,Sun,2022-10-23,20:45 (19:45),Lille,,4–3,,Monaco,,Stade Pierre-Mauroy,Willy Delajod,Match Report,
,,,,,,,,,,,,,
13,Fri,2022-10-28,21:00 (20:00),Lens,,,,Toulouse,,Stade Bollaert-Delelis,,Head-to-Head,
13,Sat,2022-10-29,17:00 (16:00),Paris S-G,,,,Troyes,,Parc des Princes,,Head-to-Head,
13,Sat,2022-10-29,21:00 (20:00),Strasbourg,,,,Marseille,,Stade de la Meinau,,Head-to-Head,
13,Sun,2022-10-30,13:00 (12:00),Auxerre,,,,Ajaccio,,Stade de l'Abbé Deschamps,,Head-to-Head,
13,Sun,2022-10-30,15:00 (14:00),Brest,,,,Reims,,Stade Francis-Le Blé,,Head-to-Head,
13,Sun,2022-10-30,15:00 (14:00),Rennes,,,,Montpellier,,Roazhon Park,,Head-to-Head,
13,Sun,2022-10-30,15:00 (14:00),Monaco,,,,Angers,,Stade Louis II.,,Head-to-Head,
13,Sun,2022-10-30,15:00 (14:00),Nantes,,,,Clermont Foot,,Stade de la Beaujoire - Louis Fonteneau,,Head-to-Head,
13,Sun,2022-10-30,17:05 (16:05),Lorient,,,,Nice,,Stade Yves Allainmat - Le Moustoir,,Head-to-Head,
13,Sun,2022-10-30,20:45 (19:45),Lyon,,,,Lille,,Matmut Stadium de Gerland,,Head-to-Head,
,,,,,,,,,,,,,
14,Fri,2022-11-04,21:00 (20:00),Troyes,,,,Auxerre,,Stade de l'Aube,,Head-to-Head,
14,Sat,2022-11-05,17:00 (16:00),Ajaccio,,,,Strasbourg,,Stade François Coty,,Head-to-Head,
14,Sat,2022-11-05,21:00 (20:00),Angers,,,,Lens,,Stade Raymond Kopa,,Head-to-Head,
14,Sun,2022-11-06,13:00 (12:00),Lorient,,,,Paris S-G,,Stade Yves Allainmat - Le Moustoir,,Head-to-Head,
14,Sun,2022-11-06,15:00 (14:00),Toulouse,,,,Monaco,,Stadium Municipal,,Head-to-Head,
14,Sun,2022-11-06,15:00 (14:00),Clermont Foot,,,,Montpellier,,Stade Gabriel Montpied,,Head-to-Head,
14,Sun,2022-11-06,15:00 (14:00),Reims,,,,Nantes,,Stade Auguste-Delaune II,,Head-to-Head,
14,Sun,2022-11-06,15:00 (14:00),Nice,,,,Brest,,Stade Municipal du Ray,,Head-to-Head,
14,Sun,2022-11-06,17:05 (16:05),Lille,,,,Rennes,,Stadium Nord Lille Métropole,,Head-to-Head,
14,Sun,2022-11-06,20:45 (19:45),Marseille,,,,Lyon,,Orange Vélodrome,,Head-to-Head,
,,,,,,,,,,,,,
15,Fri,2022-11-11,21:00 (20:00),Lyon,,,,Nice,,Groupama Stadium,,Head-to-Head,
15,Sat,2022-11-12,17:00 (16:00),Lens,,,,Clermont Foot,,Stade Bollaert-Delelis,,Head-to-Head,
15,Sat,2022-11-12,21:00 (20:00),Rennes,,,,Toulouse,,Roazhon Park,,Head-to-Head,
15,Sun,2022-11-13,13:00 (12:00),Paris S-G,,,,Auxerre,,Parc des Princes,,Head-to-Head,
15,Sun,2022-11-13,15:00 (14:00),Brest,,,,Troyes,,Stade Francis-Le Blé,,Head-to-Head,
