Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sun,2022-09-18,15:30 (14:30),Union Berlin,1.2,2–0,0.2,Wolfsburg,22012,Stadion An der Alten Försterei,Robert Schröder,Match Report,
7,Sun,2022-09-18,17:30 (16:30),Bochum,0.2,1–1,1.8,Köln,25800,Vonovia Ruhrstadion,Bastian Dankert,Match Report,
7,Sun,2022-09-18,19:30 (18:30),Hoffenheim,0.9,0–0,0.7,Freiburg,24233,PreZero Arena,Deniz Aytekin,Match Report,
,,,,,,,,,,,,,
8,Fri,2022-09-30,20:30 (19:30),Bayern Munich,2.4,4–0,1.3,Leverkusen,75000,Allianz Arena,Tobias Stieler,Match Report,
8,Sat,2022-10-01,15:30 (14:30),Wolfsburg,1.8,3–2,1.6,Stuttgart,24125,Volkswagen Arena,Felix Zwayer,Match Report,
8,Sat,2022-10-01,15:30 (14:30),RB Leipzig,4.1,4–0,0.2,Bochum,44403,Red Bull Arena,Florian Badstübner,Match Report,
8,Sat,2022-10-01,15:30 (14:30),Freiburg,2.1,2–1,1.8,Mainz 05,34700,Europa-Park Stadion,Sven Jablonski,Match Report,
8,Sat,2022-10-01,15:30 (14:30),Köln,2.0,3–2,2.8,Dortmund,50000,RheinEnergieSTADION,Harm Osmers,Match Report,
8,Sat,2022-10-01,15:30 (14:30),Eint Frankfurt,0.8,2–0,1.2,Union Berlin,50500,Commerzbank-Arena,Sascha Stegemann,Match Report,
8,Sat,2022-10-01,18:30 (17:30),Werder Bremen,2.1,5–1,2.4,M'Gladbach,42100,Weserstadion,Matthias Jöllenbeck,Match Report,
8,Sun,2022-10-02,15:30 (14:30),Hertha BSC,0.8,1–1,1.8,Hoffenheim,41653,Olympiastadion Berlin,Christian Dingert,Match Report,
8,Sun,2022-10-02,17:30 (16:30),Schalke 04,2.2,2–3,1.1,Augsburg,60328,Veltins-Arena,Daniel Schlager,Match Report,
,,,,,,,,,,,,,
9,Fri,2022-10-07,20:30 (19:30),Hoffenheim,1.8,1–2,1.5,Werder Bremen,25410,PreZero Arena,Benjamin Cortus,Match Report,
9,Sat,2022-10-08,15:30 (14:30),Leverkusen,1.3,4–0,0.2,Schalke 04,30210,BayArena,Tobias Reichel,Match Report,
9,Sat,2022-10-08,15:30 (14:30),Augsburg,1.9,1–1,1.9,Wolfsburg,26220,WWK Arena,Daniel Siebert,Match Report,
9,Sat,2022-10-08,15:30 (14:30),Bochum,0.5,3–0,0.9,Eint Frankfurt,24850,Vonovia Ruhrstadion,Martin Petersen,Match Report,
9,Sat,2022-10-08,15:30 (14:30),Mainz 05,0.5,1–1,1.4,RB Leipzig,26100,Opel Arena,Felix Brych,Match Report,
9,Sat,2022-10-08,18:30 (17:30),Dortmund,1.5,2–2,0.9,Bayern Munich,81365,Signal Iduna Park,Deniz Aytekin,Match Report,
9,Sun,2022-10-09,15:30 (14:30),M'Gladbach,2.7,5–2,1.4,Köln,54042,Stadion im Borussia-Park,Sven Jablonski,Match Report,
9,Sun,2022-10-09,17:30 (16:30),Hertha BSC,1.5,2–2,1.0,Freiburg,40481,Olympiastadion Berlin,Robert Schröder,Match Report,
9,Sun,2022-10-09,19:30 (18:30),Stuttgart,0.7,0–1,0.6,Union Berlin,43250,Mercedes-Benz Arena,Bastian Dankert,Match Report,
,,,,,,,,,,,,,
10,Fri,2022-10-14,20:30 (19:30),Schalke 04,0.8,0–3,3.3,Hoffenheim,59811,Veltins-Arena,Florian Badstübner,Match Report,
10,Sat,2022-10-15,15:30 (14:30),Wolfsburg,2.2,2–2,0.9,M'Gladbach,26701,Volkswagen Arena,Benjamin Cortus,Match Report,
10,Sat,2022-10-15,15:30 (14:30),Stuttgart,2.1,4–1,2.1,Bochum,45400,Mercedes-Benz Arena,Christian Dingert,Match Report,
10,Sat,2022-10-15,15:30 (14:30),Werder Bremen,1.4,0–2,0.8,Mainz 05,41000,Weserstadion,Robert Hartmann,Match Report,
10,Sat,2022-10-15,15:30 (14:30),Eint Frankfurt,4.6,5–1,0.4,Leverkusen,49700,Commerzbank-Arena,Frank Willenborg,Match Report,
10,Sat,2022-10-15,18:30 (17:30),RB Leipzig,2.4,3–2,2.0,Hertha BSC,47069,Red Bull Arena,Harm Osmers,Match Report,
10,Sun,2022-10-16,15:30 (14:30),Köln,1.5,3–2,0.3,Augsburg,49000,RheinEnergieSTADION,Felix Zwayer,Match Report,
10,Sun,2022-10-16,17:30 (16:30),Union Berlin,1.6,2–0,0.9,Dortmund,22012,Stadion An der Alten Försterei,Tobias Stieler,Match Report,
10,Sun,2022-10-16,19:30 (18:30),Bayern Munich,2.3,5–0,0.4,Freiburg,75000,Allianz Arena,Sascha Stegemann,Match Report,
,,,,,,,,,,,,,
11,Fri,2022-10-21,20:30 (19:30),Mainz 05,2.4,5–0,0.8,Köln,31610,Opel Arena,Matthias Jöllenbeck,Match Report,
11,Sat,2022-10-22,15:30 (14:30),Augsburg,1.3,3–3,2.5,RB Leipzig,25109,WWK Arena,Robert Schröder,Match Report,
11,Sat,2022-10-22,15:30 (14:30),Dortmund,2.1,5–0,0.9,Stuttgart,81365,Signal Iduna Park,Daniel Schlager,Match Report,
11,Sat,2022-10-22,15:30 (14:30),Leverkusen,2.4,2–2,1.4,Wolfsburg,26294,BayArena,Felix Brych,Match Report,
11,Sat,2022-10-22,15:30 (14:30),Freiburg,3.3,2–0,0.4,Werder Bremen,34700,Europa-Park Stadion,Bastian Dankert,Match Report,
11,Sat,2022-10-22,15:30 (14:30),Hoffenheim,0.6,0–2,2.2,Bayern Munich,30150,PreZero Arena,Sven Jablonski,Match Report,
11,Sat,2022-10-22,18:30 (17:30),M'Gladbach,1.7,1–3,1.7,Eint Frankfurt,53019,Stadion im Borussia-Park,Daniel Siebert,Match Report,
11,Sun,2022-10-23,15:30 (14:30),Bochum,,2–1,,Union Berlin,25460,Vonovia Ruhrstadion,Deniz Aytekin,Match Report,
11,Sun,2022-10-23,17:30 (16:30),Hertha BSC,,2–1,,Schalke 04,60165,Olympiastadion Berlin,Martin Petersen,Match Report,
,,,,,,,,,,,,,
12,Fri,2022-10-28,20:30 (19:30),Werder Bremen,,,,Hertha BSC,,Weserstadion,,Head-to-Head,
12,Sat,2022-10-29,15:30 (14:30),Bayern Munich,,,,Mainz 05,,Allianz Arena,,Head-to-Head,
