,ID,Category,Date,Name,Score,Active
111,111,Hockey,2022-10-27,Buffalo Sabres - Montreal Canadiens,2 - 3,False
112,112,Hockey,2022-10-27,Chicago Blackhawks - Edmonton Oilers,5 - 6,False
113,113,Hockey,2022-10-27,Dallas Stars - Washington Capitals,2 - 0,False
114,114,Hockey,2022-10-27,Los Angeles Kings - Winnipeg Jets,4 - 6,False
115,115,Hockey,2022-10-27,Nashville Predators - St. Louis Blues,6 - 2,False
116,116,Hockey,2022-10-27,Ottawa Senators - Minnesota Wild,2 - 4,False
117,117,Hockey,2022-10-27,Philadelphia Flyers - Florida Panthers,4 - 3,False
118,118,Hockey,2022-10-27,Seattle Kraken - Vancouver Canucks,4 - 5,False
119,119,Hockey,2022-10-27,San Jose Sharks - Toronto Maple Leafs,4 - 3,False
120,120,Hockey,2022-10-28,Arizona Coyotes - Winnipeg Jets,2 - 3,False
121,121,Hockey,2022-10-28,Carolina Hurricanes - New York Islanders,2 - 6,False
122,122,Hockey,2022-10-28,Columbus Blue Jackets - Boston Bruins,0 - 4,False
123,123,Hockey,2022-10-28,New Jersey Devils - Colorado Avalanche,1 - 0,False
124,124,Hockey,2022-10-28,Vancouver Canucks - Pittsburgh Penguins,5 - 1,False
125,125,Hockey,2022-10-28,Vegas Golden Knights - Anaheim Ducks,4 - 0,False
126,126,Hockey,2022-10-29,Buffalo Sabres - Chicago Blackhawks,4 - 3,False
127,127,Hockey,2022-10-29,Calgary Flames - Edmonton Oilers,2 - 3,False
128,128,Hockey,2022-10-29,Dallas Stars - New York Rangers,3 - 6,False
129,129,Hockey,2022-10-29,Detroit Red Wings - Minnesota Wild,2 - 1,False
130,130,Hockey,2022-10-29,Florida Panthers - Ottawa Senators,5 - 3,False
131,131,Hockey,2022-10-29,Los Angeles Kings - Toronto Maple Leafs,4 - 2,False
132,132,Hockey,2022-10-29,Nashville Predators - Washington Capitals,0 - 3,False
133,133,Hockey,2022-10-29,New York Islanders - Colorado Avalanche,5 - 4,False
134,134,Hockey,2022-10-29,Philadelphia Flyers - Carolina Hurricanes,3 - 4,False
135,135,Hockey,2022-10-29,Seattle Kraken - Pittsburgh Penguins,3 - 1,False
136,136,Hockey,2022-10-29,San Jose Sharks - Tampa Bay Lightning,3 - 4,False
137,137,Hockey,2022-10-29,St. Louis Blues - Montreal Canadiens,4 - 7,False
138,138,Hockey,2022-10-30,Anaheim Ducks - Toronto Maple Leafs,4 - 3,False
139,139,Hockey,2022-10-30,Arizona Coyotes - New York Rangers,2 - 3,False
140,140,Hockey,2022-10-30,Chicago Blackhawks - Minnesota Wild,3 - 4,False
141,141,Hockey,2022-10-30,New Jersey Devils - Columbus Blue Jackets,7 - 1,False
142,142,Hockey,2022-10-30,Vegas Golden Knights - Winnipeg Jets,2 - 1,False
143,143,Hockey,2022-10-31,Buffalo Sabres - Detroit Red Wings,8 - 3,False
144,144,Hockey,2022-10-31,Carolina Hurricanes - Washington Capitals,3 - 2,False
145,145,Hockey,2022-10-31,St. Louis Blues - Los Angeles Kings,1 - 5,False
146,146,Hockey,2022-11-01,Arizona Coyotes - Florida Panthers,3 - 1,False
147,147,Hockey,2022-11-01,Calgary Flames - Seattle Kraken,4 - 5,False
148,148,Hockey,2022-11-01,Chicago Blackhawks - New York Islanders,1 - 3,False
149,149,Hockey,2022-11-01,Dallas Stars - Los Angeles Kings,5 - 2,False
150,150,Hockey,2022-11-01,Edmonton Oilers - Nashville Predators,7 - 4,False
151,151,Hockey,2022-11-01,Minnesota Wild - Montreal Canadiens,4 - 1,False
152,152,Hockey,2022-11-01,New York Rangers - Philadelphia Flyers,1 - 0,False
153,153,Hockey,2022-11-01,Pittsburgh Penguins - Boston Bruins,5 - 6,False
154,154,Hockey,2022-11-01,San Jose Sharks - Anaheim Ducks,5 - 6,False
155,155,Hockey,2022-11-01,Tampa Bay Lightning - Ottawa Senators,4 - 3,False
156,156,Hockey,2022-11-01,Vancouver Canucks - New Jersey Devils,2 - 5,False
157,157,Hockey,2022-11-01,Washington Capitals - Vegas Golden Knights,2 - 3,False
158,158,Hockey,2022-11-02,Buffalo Sabres - Pittsburgh Penguins,6 - 3,False
159,159,Hockey,2022-11-02,Toronto Maple Leafs - Philadelphia Flyers,5 - 2,False
160,160,Hockey,2022-11-03,Arizona Coyotes - Dallas Stars,2 - 7,False
161,161,Hockey,2022-11-03,Calgary Flames - Nashville Predators,1 - 4,False
162,162,Hockey,2022-11-03,Chicago Blackhawks - Los Angeles Kings,2 - 1,False
163,163,Hockey,2022-11-03,Detroit Red Wings - Washington Capitals,3 - 1,False
164,164,Hockey,2022-11-03,Edmonton Oilers - New Jersey Devils,3 - 4,False
165,165,Hockey,2022-11-03,Minnesota Wild - Seattle Kraken,0 - 4,False
166,166,Hockey,2022-11-03,New York Rangers - Boston Bruins,2 - 5,False
167,167,Hockey,2022-11-03,Ottawa Senators - Vegas Golden Knights,4 - 5,False
168,168,Hockey,2022-11-03,San Jose Sharks - Florida Panthers,3 - 4,False
169,169,Hockey,2022-11-03,St. Louis Blues - New York Islanders,2 - 5,False
170,170,Hockey,2022-11-03,Tampa Bay Lightning - Carolina Hurricanes,3 - 4,False
171,171,Hockey,2022-11-03,Vancouver Canucks - Anaheim Ducks,8 - 5,False
172,172,Hockey,2022-11-03,Winnipeg Jets - Montreal Canadiens,3 - 2,False
173,173,Hockey,2022-11-04,Carolina Hurricanes - Buffalo Sabres,5 - 3,False
174,174,Hockey,2022-11-04,Colorado Avalanche - Columbus Blue Jackets,6 - 3,False
175,175,Hockey,2022-11-05,Columbus Blue Jackets - Colorado Avalanche,1 - 5,False
176,176,Hockey,2022-11-05,Calgary Flames - New Jersey Devils,3 - 4,False
177,177,Hockey,2022-11-05,Detroit Red Wings - New York Islanders,3 - 0,False
178,178,Hockey,2022-11-05,Edmonton Oilers - Dallas Stars,2 - 6,False
179,179,Hockey,2022-11-05,Los Angeles Kings - Florida Panthers,5 - 4,False
180,180,Hockey,2022-11-05,Montreal Canadiens - Vegas Golden Knights,4 - 6,False
181,181,Hockey,2022-11-05,Ottawa Senators - Philadelphia Flyers,1 - 2,False
182,182,Hockey,2022-11-05,Pittsburgh Penguins - Seattle Kraken,2 - 3,False
183,183,Hockey,2022-11-05,San Jose Sharks - Anaheim Ducks,4 - 5,False
184,184,Hockey,2022-11-05,Tampa Bay Lightning - Buffalo Sabres,5 - 3,False
185,185,Hockey,2022-11-05,Toronto Maple Leafs - Boston Bruins,2 - 1,False
186,186,Hockey,2022-11-05,Vancouver Canucks - Nashville Predators,3 - 4,False
187,187,Hockey,2022-11-05,Winnipeg Jets - Chicago Blackhawks,4 - 0,False
188,188,Hockey,2022-11-05,Washington Capitals - Arizona Coyotes,2 - 3,False
189,189,Hockey,2022-11-06,Anaheim Ducks - Florida Panthers,3 - 5,False
190,190,Hockey,2022-11-06,Carolina Hurricanes - Toronto Maple Leafs,1 - 3,False
191,191,Hockey,2022-11-06,New York Rangers - Detroit Red Wings,2 - 3,False
192,192,Hockey,2022-11-07,Boston Bruins - St. Louis Blues,3 - 1,False
193,193,Hockey,2022-11-07,New York Islanders - Calgary Flames,4 - 3,False
194,194,Hockey,2022-11-07,Washington Capitals - Edmonton Oilers,5 - 4,False
195,195,Hockey,2022-11-08,Buffalo Sabres - Arizona Coyotes,1 - 4,False
196,196,Hockey,2022-11-08,Detroit Red Wings - Montreal Canadiens,2 - 3,False
197,197,Hockey,2022-11-08,Los Angeles Kings - Minnesota Wild,1 - 0,False
198,198,Hockey,2022-11-08,New Jersey Devils - Calgary Flames,3 - 2,False
199,199,Hockey,2022-11-08,New York Rangers - New York Islanders,3 - 4,False
200,200,Hockey,2022-11-08,Ottawa Senators - Vancouver Canucks,4 - 6,False
201,201,Hockey,2022-11-08,Philadelphia Flyers - St. Louis Blues,5 - 1,False
202,202,Hockey,2022-11-08,Seattle Kraken - Nashville Predators,5 - 1,False
203,203,Hockey,2022-11-08,Tampa Bay Lightning - Edmonton Oilers,2 - 3,False
204,204,Hockey,2022-11-08,Toronto Maple Leafs - Vegas Golden Knights,3 - 4,False
205,205,Hockey,2022-11-08,Winnipeg Jets - Dallas Stars,5 - 1,False
206,206,Hockey,2022-11-09,Anaheim Ducks - Minnesota Wild,1 - 4,False
207,207,Hockey,2022-11-09,Florida Panthers - Carolina Hurricanes,3 - 0,False
208,208,Hockey,2022-11-09,Montreal Canadiens - Vancouver Canucks,5 - 2,False
209,209,Hockey,2022-11-09,Washington Capitals - Pittsburgh Penguins,1 - 4,False
210,210,Hockey,2022-11-10,Boston Bruins - Calgary Flames,3 - 1,False
211,211,Hockey,2022-11-10,Buffalo Sabres - Vegas Golden Knights,4 - 7,False
212,212,Hockey,2022-11-10,Carolina Hurricanes - Edmonton Oilers,7 - 2,False
213,213,Hockey,2022-11-10,Columbus Blue Jackets - Philadelphia Flyers,5 - 2,False
214,214,Hockey,2022-11-10,Colorado Avalanche - Nashville Predators,5 - 3,False
215,215,Hockey,2022-11-10,Detroit Red Wings - New York Rangers,2 - 8,False
216,216,Hockey,2022-11-10,Los Angeles Kings - Chicago Blackhawks,2 - 1,False
217,217,Hockey,2022-11-10,New Jersey Devils - Ottawa Senators,4 - 3,False
218,218,Hockey,2022-11-10,New York Islanders - Arizona Coyotes,0 - 2,False
219,219,Hockey,2022-11-10,St. Louis Blues - San Jose Sharks,5 - 3,False
220,220,Hockey,2022-11-11,Dallas Stars - San Jose Sharks,4 - 5,False
221,221,Hockey,2022-11-11,Seattle Kraken - Minnesota Wild,0 - 1,False
